"Site.Name","Month","Year","meanAQI_Ozone","meanAQI_pm2.5"
"Linville Falls",9,2018,28.4,NA
"Linville Falls",9,2019,37.1666666666667,NA
"Linville Falls",10,2019,34.1612903225806,NA
"Mendenhall School",3,2018,43.6451612903226,29.8064516129032
"Mendenhall School",3,2019,45.1935483870968,NA
"Mendenhall School",4,2019,48.6333333333333,24.4666666666667
"Mendenhall School",5,2018,51.741935483871,NA
"Mendenhall School",5,2019,46.9032258064516,NA
"Mendenhall School",6,2018,54.4,35.2333333333333
"Mendenhall School",6,2019,46.8,31.6666666666667
"Mendenhall School",7,2018,46.6774193548387,32.4838709677419
"Mendenhall School",7,2019,48.9354838709677,NA
"Mendenhall School",8,2019,46.7096774193548,31
"Mendenhall School",9,2018,34.5217391304348,NA
"Mendenhall School",10,2019,37.4193548387097,20.258064516129
"Millbrook School",1,2019,30.3870967741935,37.9408602150538
"Millbrook School",2,2018,28.3571428571429,33.3035714285714
"Millbrook School",2,2019,33.5357142857143,40.3214285714286
"Millbrook School",3,2019,43.0967741935484,37.7365591397849
"Millbrook School",4,2018,47.8333333333333,35.8666666666667
"Millbrook School",4,2019,44.9333333333333,38.25
"Millbrook School",5,2018,42.7741935483871,35.1505376344086
"Millbrook School",5,2019,48.0322580645161,40.9139784946237
"Millbrook School",6,2018,52.5333333333333,41.7444444444444
"Millbrook School",6,2019,47.1333333333333,38.6944444444444
"Millbrook School",7,2018,44,36.6344086021505
"Millbrook School",7,2019,48.0967741935484,43.9247311827957
"Millbrook School",8,2018,41.6129032258064,41.1881720430108
"Millbrook School",8,2019,44.3870967741936,35.1827956989247
"Millbrook School",9,2018,32.4,NA
"Millbrook School",9,2019,43.3793103448276,NA
"Millbrook School",10,2019,37.3870967741936,26.0322580645161
"Millbrook School",11,2018,25.6,41.0388888888889
"Millbrook School",11,2019,30,36.6
"Pitt Agri. Center",3,2018,41.5483870967742,24.9516129032258
"Pitt Agri. Center",4,2019,45.7333333333333,25.85
"Pitt Agri. Center",5,2018,42.3548387096774,27.5645161290323
"Pitt Agri. Center",5,2019,47.7741935483871,NA
"Pitt Agri. Center",6,2018,48.5666666666667,37.6
"Pitt Agri. Center",6,2019,46.9333333333333,32.3833333333333
"Pitt Agri. Center",7,2018,40.8709677419355,31.7903225806452
"Pitt Agri. Center",7,2019,43.5806451612903,38.4838709677419
